feature,importance,importance_pct,cumulative_pct
dist_nearest_ixp_km,318,11.393765675385167,11.393765675385167
dist_nearest_cloud_km,260,9.315657470440703,20.70942314582587
traffic_pctile,181,6.485130777499104,27.194553923324975
pop_within_25mi,156,5.589394482264421,32.7839484055894
elec_price_mwh,119,4.26370476531709,37.047653170906486
drought_risk_score,108,3.8695807954138304,40.91723396632032
mean_temp_c,96,3.4396273737011827,44.3568613400215
water_stress_score,84,3.009673951988535,47.366535292010035
mean_impervious_pct,79,2.830526692941598,50.19706198495163
dist_transmission_km,76,2.723038337513436,52.92010032246507
annual_cdd,71,2.5438910784664994,55.46399140093157
pm25_pctile,69,2.4722321748477247,57.936223575779294
cancer_risk_pctile,68,2.4364027230383374,60.37262629881763
mean_slope_deg,65,2.328914367610176,62.7015406664278
dist_nearest_city_100k_km,61,2.185596560372626,64.88713722680043
operating_capacity_mw_50km,61,2.185596560372626,67.07273378717306
co2_rate_lb_mwh,55,1.9706198495163023,69.04335363668936
ixp_count_500km,53,1.8989609458975278,70.94231458258689
dist_substation_km,50,1.791472590469366,72.73378717305626
flood_risk_score,48,1.7198136868505913,74.45360085990684
dist_nearest_plant_km,45,1.6123253314224293,76.06592619132927
dist_nearest_city_50k_km,45,1.6123253314224293,77.6782515227517
renewable_pct,43,1.5406664278036546,79.21891795055535
queue_congestion_ratio_ba,42,1.5048369759942675,80.72375492654962
pct_wetland,41,1.46900752418488,82.19276245073449
ba_renewable_pct,40,1.4331780723754926,83.62594052310999
pct_developed,39,1.3973486205661052,85.0232891436761
pct_agriculture,39,1.3973486205661052,86.4206377642422
pct_forest,36,1.2898602651379434,87.71049802938015
seismic_risk_score,36,1.2898602651379434,89.0003582945181
renewable_capacity_mw_25km,36,1.2898602651379434,90.29021855965604
wildfire_risk_score,36,1.2898602651379434,91.58007882479399
plant_count_25km,28,1.0032246506628448,92.58330347545683
pct_shrub_grassland,26,0.9315657470440701,93.5148692225009
pop_density_km2,25,0.895736295234683,94.41060551773559
operating_capacity_mw_25km,24,0.8599068434252957,95.27051236116088
cloud_regions_within_500km,24,0.8599068434252957,96.13041920458618
pct_barren,22,0.7882479398065209,96.9186671443927
demographic_index,17,0.6091006807595843,97.52776782515228
operating_capacity_mw_ba,17,0.6091006807595843,98.13686850591186
queue_capacity_mw_ba,17,0.6091006807595843,98.74596918667145
queue_generator_count_ba,14,0.5016123253314224,99.24758151200287
water_stress_cat,11,0.39412396990326043,99.64170548190613
demographic_index_norm,6,0.21497671085632392,99.85668219276245
high_water_stress,2,0.07165890361877462,99.92834109638122
extreme_water_stress,1,0.03582945180938731,99.96417054819061
in_high_wildfire,1,0.03582945180938731,100.0
colocated_with_power,0,0.0,100.0
arid_low_use,0,0.0,100.0
is_very_flat,0,0.0,100.0
is_flat,0,0.0,100.0
is_built_up,0,0.0,100.0
cooling_favorable,0,0.0,100.0
in_floodplain_100yr,0,0.0,100.0
high_drought_risk_raw,0,0.0,100.0
in_floodplain_500yr,0,0.0,100.0
in_high_seismic,0,0.0,100.0
is_rural,0,0.0,100.0
is_isolated,0,0.0,100.0
high_pm25,0,0.0,100.0
high_ej_burden,0,0.0,100.0
